Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,2017_precip,2018_precip,2019_precip,2020_precip
pgw01,d,pgwc01d2018,pgw,2018,none,none,20,1,0,NA,14,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,a,pgwc02a2018,pgw,2018,none,none,2,2,0,NA,22,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,b,pgwc02b2018,pgw,2018,none,none,0,1,2,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,c,pgwc02c2018,pgw,2018,none,none,1,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,d,pgwc02d2018,pgw,2018,none,none,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,a,pgwc03a2018,pgw,2018,none,none,5,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,b,pgwc03b2018,pgw,2018,none,none,,1,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,c,pgwc03c2018,pgw,2018,none,none,5,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,d,pgwc03d2018,pgw,2018,none,none,8,2,1,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,a,pgwc04a2018,pgw,2018,none,none,4,1,0,NA,9,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,b,pgwc04b2018,pgw,2018,none,none,7,1,1,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,c,pgwc04c2018,pgw,2018,none,none,0,2,1,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,d,pgwc04d2018,pgw,2018,none,none,8,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pgw05,a,pgwc05a2018,pgw,2018,none,none,6,2,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pgw05,b,pgwc05b2018,pgw,2018,none,none,9,0,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
